"News Source","Vertical Rank","Horizontal Rank"
"ABC","57","0"
"AFP","62","0"
"Al Jazeera US/Canada News","54","-1"
"AP","62","0"
"Axios","52","-2"
"BBC","54","-3"
"Bloomberg","58","4"
"BuzzFeed News","51","-15"
"CBS","57","4"
"Christian Science Monitor","54","6"
"CNN","32","-6"
"CSPAN","59","0"
"Daily Beast","41","-21"
"David Wolfe","2","-32"
"Democracy Now","48","-19"
"Financial Times","48","3"
"Forbes","44","3"
"Foreign Policy","45","9"
"Fortune","46","5"
"Fox","20","27"
"IJR","41","2"
"LA Times","58","-6"
"Marketwatch","50","5"
"National Review","51","20"
"NBC","57","-3"
"New Republic","46","-19"
"New York Times","52","-5"
"NewsMax","43","-28"
"NPR","56","-5"
"OZY","43","0"
"PBS","57","-5"
"Politico","55","-3"
"ProPublica","46","-5"
"Quartz","44","-5"
"Reason","42","18"
"Reuters","62","0"
"Slate","43","-20"
"Talking Points Memo","41","-13"
"The Atlantic","46","-15"
"The Economist","48","4"
"The Guardian","48","-6"
"The Hill","54","9"
"The Nation","47","-17"
"The New Yorker","47","-9"
"The Skimm","49","-2"
"The Week","44","-10"
"The Weekly Standard","46","18"
"Think Progress","42","-13"
"Time","43","-1"
"USA Today","52","0"
"Vice","42","-10"
"Vox","43","-16"
"Wall Street Journal","53","11"
"Washington Free Beacon","41","24"
"Washington Post","51","-10"
